"stop_id,stop_name,stop_lat,stop_lon,location_type"
"B1_100,ميدان المطرية,30.0961443,31.2973496,"
"B1_101,مساكن عين شمس,30.1377886,31.3416693,"
"B1_102,شارع الميرغني,30.0852514,31.333331,"
"B1_103,مساكن شبراتون,30.106700,31.289700,"
"B1_104,التجمع الخامس,30.0084868,31.4284756,"
"B1_105,الشارع الجديد,30.1308508,31.2874434,"
"B1_106,شارع 23 يوليو,30.078000,31.322000,"
"B1_107,شارع 26 يوليو,30.0525881,31.2423088,"
"B1_108,التجميع الأول,30.0474158,31.2681352,"
"B1_109,شارع الاربعين,30.065707,31.268431,"
"B1_110,شارع التروللي,30.1227947,31.3009169,"
"B1_111,بولاق الدكرور,30.1013258,31.1996135,"
"B1_112,شارع نهضه مصر,30.1725152,31.444182,"
"B1_113,كوبري 15 مايو,30.0590283,31.2240722,"
"B1_114,النادي الاهلي,30.0442237,31.2239264,"
"B1_115,حدائق الاهرام,29.978000,31.048600,"
"B1_116,جامعة عين شمس,30.0766493,31.284546,"
"B1_117,زهراء عين شمس,30.1303408,31.3296025,"
"B1_118,التجمع الأول,30.0084868,31.4284756,"
"B1_119,شارع عين شمس,30.1284604,31.3211898,"
"B1_120,عرب الطوابلة,30.1394568,31.3154,"
"B1_121,شارع بورسعيد,30.0483239,31.2544961,"
"B1_122,جهاز المدينة,29.963700,30.933000,"
"B1_123,حدائق اكتوبر,29.960000,30.935000,"
"B1_124,مساكن ألماظة,30.0566104,31.3301076,"
"B1_125,كوبري الفطيم,30.0519109,31.4094614,"
"B1_126,ميدان الجيزة,30.01551,31.21216,"
"B1_127,كوزينش النيل,30.05488,31.229404,"
"B1_128,جامعة الأزهر,30.0580481,31.31259399999999,"
"B1_129,شارع الجزائر,30.096922,31.2732387,"
"B1_130,كوبري اكتوبر,30.0647444,31.2529501,"
"B1_131,شارع الصاعقة,30.0850861,31.3776872,"
"B1_132,ميدان العتبة,30.0499288,31.2502992,"
"B1_133,باب الشعيرية,30.0574494,31.2605244,"
"B1_134,كلية الزراعة,30.0757804,31.2847166,"
"B1_135,مطار القاهرة,30.1160338,31.4171729,"
"B1_136,ميدان السواح,30.1059344,31.2903605,"
"B1_137,شارع السادات,30.092403,31.2580564,"
"B1_138,مدينة الطلبة,30.0689665,31.201587,"
"B1_139,شارع السودان,30.0446064,31.1939586,"
"B1_140,ميدان عباسية,30.0650075,31.2714452,"
