"route_id,service_id,trip_id,shape_id,direction_id"
"B1_220,B1_DAILY,B1_trip_220,B1_shape_220,"
"B1_222,B1_DAILY,B1_trip_222,B1_shape_222,"
"B1_223,B1_DAILY,B1_trip_223,B1_shape_223,"
"B1_225,B1_DAILY,B1_trip_225,B1_shape_225,"
"B1_226,B1_DAILY,B1_trip_226,B1_shape_226,"
"B1_255,B1_DAILY,B1_trip_255,B1_shape_255,"
"B1_259,B1_DAILY,B1_trip_259,B1_shape_259,"
"B1_265,B1_DAILY,B1_trip_265,B1_shape_265,"
"B1_300,B1_DAILY,B1_trip_300,B1_shape_300,"
"B1_302,B1_DAILY,B1_trip_302,B1_shape_302,"
"B1_303,B1_DAILY,B1_trip_303,B1_shape_303,"
"B1_304,B1_DAILY,B1_trip_304,B1_shape_304,"
"B1_305,B1_DAILY,B1_trip_305,B1_shape_305,"
"B1_307,B1_DAILY,B1_trip_307,B1_shape_307,"
"B1_308,B1_DAILY,B1_trip_308,B1_shape_308,"
"B1_309,B1_DAILY,B1_trip_309,B1_shape_309,"
"B1_310,B1_DAILY,B1_trip_310,B1_shape_310,"
"B1_311,B1_DAILY,B1_trip_311,B1_shape_311,"
"B1_314,B1_DAILY,B1_trip_314,B1_shape_314,"
"B1_329,B1_DAILY,B1_trip_329,B1_shape_329,"
"B1_333,B1_DAILY,B1_trip_333,B1_shape_333,"
"B1_355,B1_DAILY,B1_trip_355,B1_shape_355,"
"B1_380,B1_DAILY,B1_trip_380,B1_shape_380,"
"B1_381,B1_DAILY,B1_trip_381,B1_shape_381,"
"B1_404,B1_DAILY,B1_trip_404,B1_shape_404,"
"B1_421,B1_DAILY,B1_trip_421,B1_shape_421,"
"B1_424,B1_DAILY,B1_trip_424,B1_shape_424,"
"B1_505,B1_DAILY,B1_trip_505,B1_shape_505,"
"B1_555,B1_DAILY,B1_trip_555,B1_shape_555,"
"B1_606,B1_DAILY,B1_trip_606,B1_shape_606,"
"B1_616,B1_DAILY,B1_trip_616,B1_shape_616,"
"B1_700,B1_DAILY,B1_trip_700,B1_shape_700,"
"B1_701,B1_DAILY,B1_trip_701,B1_shape_701,"
"B1_702,B1_DAILY,B1_trip_702,B1_shape_702,"
"B1_705,B1_DAILY,B1_trip_705,B1_shape_705,"
"B1_706,B1_DAILY,B1_trip_706,B1_shape_706,"
"B1_707,B1_DAILY,B1_trip_707,B1_shape_707,"
"B1_755,B1_DAILY,B1_trip_755,B1_shape_755,"
"B1_777,B1_DAILY,B1_trip_777,B1_shape_777,"
"B1_2001,B1_DAILY,B1_trip_2001,B1_shape_2001,"
"B1_2002,B1_DAILY,B1_trip_2002,B1_shape_2002,"
"B1_2003,B1_DAILY,B1_trip_2003,B1_shape_2003,"
"B1_G1,B1_DAILY,B1_trip_G1,B1_shape_G1,"
"B1_G2,B1_DAILY,B1_trip_G2,B1_shape_G2,"
"B1_M 5,B1_DAILY,B1_trip_M 5,B1_shape_M 5,"
"B1_M 7,B1_DAILY,B1_trip_M 7,B1_shape_M 7,"
"B1_M 10,B1_DAILY,B1_trip_M 10,B1_shape_M 10,"
"M_R1,M_DAILY,M_TR1_F,M_SR1_F,M_0"
"M_R1,M_DAILY,M_TR1_B,M_SR1_B,M_1"
"M_R2,M_DAILY,M_TR2_F,M_SR2_F,M_0"
"M_R2,M_DAILY,M_TR2_B,M_SR2_B,M_1"
"M_R3,M_DAILY,M_TR3_F,M_SR3_F,M_0"
"M_R3,M_DAILY,M_TR3_B,M_SR3_B,M_1"
"M_R4,M_DAILY,M_TR4_F,M_SR4_F,M_0"
"M_R4,M_DAILY,M_TR4_B,M_SR4_B,M_1"
"MB_1,MB_DAILY,MB_trip_1,MB_shape_1,"
"MB_2,MB_DAILY,MB_trip_2,MB_shape_2,"
"MB_3,MB_DAILY,MB_trip_3,MB_shape_3,"
"MB_4,MB_DAILY,MB_trip_4,MB_shape_4,"
"MB_5,MB_DAILY,MB_trip_5,MB_shape_5,"
"MB_6,MB_DAILY,MB_trip_6,MB_shape_6,"
"MB_7,MB_DAILY,MB_trip_7,MB_shape_7,"
"MB_8,MB_DAILY,MB_trip_8,MB_shape_8,"
"MB_9,MB_DAILY,MB_trip_9,MB_shape_9,"
"MB_10,MB_DAILY,MB_trip_10,MB_shape_10,"
"MB_11,MB_DAILY,MB_trip_11,MB_shape_11,"
"MB_12,MB_DAILY,MB_trip_12,MB_shape_12,"
"MB_13,MB_DAILY,MB_trip_13,MB_shape_13,"
"MB_14,MB_DAILY,MB_trip_14,MB_shape_14,"
"MB_15,MB_DAILY,MB_trip_15,MB_shape_15,"
"MB_16,MB_DAILY,MB_trip_16,MB_shape_16,"
"MB_17,MB_DAILY,MB_trip_17,MB_shape_17,"
"MB_18,MB_DAILY,MB_trip_18,MB_shape_18,"
"MB_19,MB_DAILY,MB_trip_19,MB_shape_19,"
"MB_20,MB_DAILY,MB_trip_20,MB_shape_20,"
"MB_21,MB_DAILY,MB_trip_21,MB_shape_21,"
"MB_22,MB_DAILY,MB_trip_22,MB_shape_22,"
"MB_23,MB_DAILY,MB_trip_23,MB_shape_23,"
"MB_24,MB_DAILY,MB_trip_24,MB_shape_24,"
"MB_25,MB_DAILY,MB_trip_25,MB_shape_25,"
"MB_26,MB_DAILY,MB_trip_26,MB_shape_26,"
"MB_27,MB_DAILY,MB_trip_27,MB_shape_27,"
"MB_28,MB_DAILY,MB_trip_28,MB_shape_28,"
"MB_29,MB_DAILY,MB_trip_29,MB_shape_29,"
"MB_30,MB_DAILY,MB_trip_30,MB_shape_30,"
"MB_31,MB_DAILY,MB_trip_31,MB_shape_31,"
"MB_32,MB_DAILY,MB_trip_32,MB_shape_32,"
"MB_33,MB_DAILY,MB_trip_33,MB_shape_33,"
"MB_34,MB_DAILY,MB_trip_34,MB_shape_34,"
"MB_35,MB_DAILY,MB_trip_35,MB_shape_35,"
"MB_36,MB_DAILY,MB_trip_36,MB_shape_36,"
"MB_37,MB_DAILY,MB_trip_37,MB_shape_37,"
"MB_38,MB_DAILY,MB_trip_38,MB_shape_38,"
"MB_39,MB_DAILY,MB_trip_39,MB_shape_39,"
"MB_40,MB_DAILY,MB_trip_40,MB_shape_40,"
"MB_41,MB_DAILY,MB_trip_41,MB_shape_41,"
"MB_42,MB_DAILY,MB_trip_42,MB_shape_42,"
"MB_43,MB_DAILY,MB_trip_43,MB_shape_43,"
"MB_44,MB_DAILY,MB_trip_44,MB_shape_44,"
"MB_45,MB_DAILY,MB_trip_45,MB_shape_45,"
"MB_46,MB_DAILY,MB_trip_46,MB_shape_46,"
"MB_47,MB_DAILY,MB_trip_47,MB_shape_47,"
"MB_48,MB_DAILY,MB_trip_48,MB_shape_48,"
"MB_49,MB_DAILY,MB_trip_49,MB_shape_49,"
"MB_50,MB_DAILY,MB_trip_50,MB_shape_50,"
"MB_51,MB_DAILY,MB_trip_51,MB_shape_51,"
"MB_52,MB_DAILY,MB_trip_52,MB_shape_52,"
"MB_53,MB_DAILY,MB_trip_53,MB_shape_53,"
"MB_54,MB_DAILY,MB_trip_54,MB_shape_54,"
"MB_55,MB_DAILY,MB_trip_55,MB_shape_55,"
"MB_56,MB_DAILY,MB_trip_56,MB_shape_56,"
"MB_57,MB_DAILY,MB_trip_57,MB_shape_57,"
"MB_58,MB_DAILY,MB_trip_58,MB_shape_58,"
"MB_59,MB_DAILY,MB_trip_59,MB_shape_59,"
"MB_60,MB_DAILY,MB_trip_60,MB_shape_60,"
"MB_61,MB_DAILY,MB_trip_61,MB_shape_61,"
"MB_62,MB_DAILY,MB_trip_62,MB_shape_62,"
"MB_63,MB_DAILY,MB_trip_63,MB_shape_63,"
"MB_64,MB_DAILY,MB_trip_64,MB_shape_64,"
"MB_65,MB_DAILY,MB_trip_65,MB_shape_65,"
"MB_66,MB_DAILY,MB_trip_66,MB_shape_66,"
"MB_67,MB_DAILY,MB_trip_67,MB_shape_67,"
"MB_68,MB_DAILY,MB_trip_68,MB_shape_68,"
"MB_69,MB_DAILY,MB_trip_69,MB_shape_69,"
"MB_70,MB_DAILY,MB_trip_70,MB_shape_70,"
"MB_71,MB_DAILY,MB_trip_71,MB_shape_71,"
